t,x,y,phi,xg,yg,e,theta,alpha,v,w
0.024857199983671308,1.4499999999999986,1.2750000000000004,-1.5707963267949996,-1.4999999999999984,-1.1749999999999992,3.8347098977627994,-2.4485238249239436,-0.877727498128944,0.2450000000000303,-0.6914680004744199
0.05720599996857345,1.4499496094401534,1.2442415991937266,-1.5744540175331867,-1.4999999999999984,-1.1749999999999992,3.8150927398302548,-2.4547176598777516,-0.8802636423445649,0.2430015395361633,-0.6942321547049911
0.10167580004781485,1.449215091325312,1.1567153930321796,-1.5793919335895819,-1.4999999999999984,-1.1749999999999992,3.7596231631646497,-2.4725959991945166,-0.8932040656049347,0.23569792359143588,-0.7091550114914318
0.15406660013832152,1.4448631192330676,1.0453860502355377,-1.571536946237433,-1.4999999999999984,-1.1749999999999992,3.6881340814969934,-2.495545276524049,-0.924008330286616,0.22225664639579654,-0.7460340305076969
0.20031090010888875,1.4435114996287903,0.9947837101595189,-1.6411217146900783,-1.4999999999999984,-1.1749999999999992,3.656804793439284,-2.506372073672856,-0.8652503589827778,0.23712534166158897,-0.6728946861851043
0.2535235001705587,1.4382649498822575,0.911268068307324,-1.8688856175251116,-1.4999999999999984,-1.1749999999999992,3.603597559182399,-2.5241641453555053,-0.6552785278303936,0.28572140526992307,-0.42084494399959793
0.3043041001074016,1.3869860698961163,0.7791648063125101,-2.2327160636728367,-1.4999999999999984,-1.1749999999999992,3.48617966519292,-2.546547422260555,-0.31383135858771816,0.3315906959581812,-0.046208248105946925
0.3557651999872178,1.2949009258988045,0.670953356068654,-2.3744573755638347,-1.4999999999999984,-1.1749999999999992,3.3494798071299234,-2.557891047217961,-0.18343367165412605,0.3293286138483293,0.0845907267393346
0.40060289995744824,1.1863355296870162,0.5696476009071982,-2.444850896527617,-1.4999999999999984,-1.1749999999999992,3.20315373177905,-2.565602342974467,-0.12075144644685043,0.31798296419410943,0.14528023777258103
0.45542660006321967,1.0510938785247483,0.45961927604260755,-2.4665459217259853,-1.4999999999999984,-1.1749999999999992,3.029861408489915,-2.5717459456387965,-0.10520002391281125,0.3013111058791652,0.16052388127760703
0.5057561001740396,0.9339966671054555,0.36591502229343564,-2.4665382839540984,-1.4999999999999984,-1.1749999999999992,2.8807566508488764,-2.577203968587817,-0.11066568463371862,0.28631344862793956,0.15593211273720597
0.554776000091806,0.8168507453548053,0.27223118899611776,-2.464055445576549,-1.4999999999999984,-1.1749999999999992,2.7317165831495447,-2.5832418433154696,-0.11918639773892048,0.2712336980867137,0.14850441648829227
0.6022990001365542,0.7002530142557599,0.17801592043867479,-2.4053052443565788,-1.4999999999999984,-1.1749999999999992,2.58297607571229,-2.5902627531744993,-0.1849575088179205,0.2538921005850125,0.0862784610246779
0.6555955000221729,0.5926843947478093,0.07593354717972234,-2.319990821342521,-1.4999999999999984,-1.1749999999999992,2.4380653632502636,-2.6028181351040525,-0.2828273137615316,0.23412016457103627,-0.009406881303061276
0.7028618999756873,0.500180064289333,-0.024439764345623338,-2.261045280653655,-1.4999999999999984,-1.1749999999999992,2.3074897931409204,-2.6195867955632695,-0.3585415149096143,0.2160755628356933,-0.08560341536275118
0.7508311001583934,0.46805738536196745,-0.05765600301157654,-2.141154715187762,-1.4999999999999984,-1.1749999999999992,2.2631189716150235,-2.6252319197186367,-0.48407720453087455,0.20030974360876863,-0.2194937552288746
0.8044337001629174,0.452025887330462,-0.06880405775534114,-1.9311033989014452,-1.4999999999999984,-1.1749999999999992,2.2436743363168414,-2.6260250568187025,-0.6949216579172572,0.17233749375230686,-0.4598790205155755
0.8516743001528084,0.44084495651523137,-0.08075510201910742,-1.762847573620473,-1.4999999999999984,-1.1749999999999992,2.2280599278268562,-2.6282175686484663,-0.8653699950279934,0.14445815254985042,-0.6660912858833283
0.9052567000035197,0.4309524425026704,-0.09493938095594853,-1.573751231390824,-1.4999999999999984,-1.1749999999999992,2.212489158395322,-2.6316062464462826,-1.0578550150554586,0.10857616757373748,-0.9087266366587885
0.9526355001144111,0.422335630676374,-0.10507548622719051,-1.344649334832031,-1.4999999999999984,-1.1749999999999992,2.2000256230644015,-2.6337152544519578,-1.2890659196199268,0.06116472763485538,-1.207797109632877
1.0000291999895126,0.4096694958737482,-0.11733334830608606,-0.8852016042275914,-1.4999999999999984,-1.1749999999999992,2.183001678784536,-2.635799916896556,-1.7505983126689646,-0.03903965703209896,-1.794685787199045
1.0557755001354963,0.4300170454597749,-0.15743668797575433,-0.5085380060788869,-1.4999999999999984,-1.1749999999999992,2.181834294749036,-2.6563989217323187,-2.147860915653432,-0.119033508334489,-2.2501306000733265
1.1026610000990331,0.5121804204457542,-0.2026760561599787,-0.1929414837538402,-1.4999999999999984,-1.1749999999999992,2.2347894523175684,-2.691459689622161,-2.498518205868321,-0.17884034977063662,-2.5982000275113113
