t,x,y,theta,xg,yg,D,eD,phi,alpha,v,w
0.07421670004259795,2.0,-2.0,-0.0,-2.0,-2.0,4.0,-3.999,3.141592653589793,-3.141592653589793,-0.39990000000000003,3.141592653589793
0.07534470001701266,2.0,-2.0,-0.0,-2.0,-2.0,4.0,-3.999,3.141592653589793,-3.141592653589793,-0.39990000000000003,3.141592653589793
0.10225440002977848,1.9997799521944777,-1.9999850994589803,0.0043525311728375895,-2.0,-2.0,3.9997799522222324,-3.9987799522222325,-3.1415889282496,3.1459414594224375,-0.3998742139594326,-3.1463762257979595
0.15180200000759214,1.999556862567924,-2.0001807915004703,0.007055753544104366,-2.0,-2.0,3.9995568666540726,-3.9985568666540727,3.141547450706934,-3.13449169716283,-0.39984560562972965,3.1337818029278814
0.20287160004954785,1.9994867146947761,-2.0003107444189987,0.01091915329183359,-2.0,-2.0,3.999486726766587,-3.998486726766587,3.1415149575151364,-3.1305958042233026,-0.3998244959311642,3.1294964828759686
0.2526447999989614,1.9991980599607397,-2.0006798306623157,0.022184092837881784,-2.0,-2.0,3.99919811774354,-3.99819811774354,3.1414226618450547,-3.119238569007173,-0.39971991993514516,3.1170044639491343
0.3016507000429556,1.9985369893927278,-2.001337698603205,0.040078652483800124,-2.0,-2.0,3.998537213154257,-3.9975372131542573,3.141258106590016,-3.101179454106216,-0.3994273215187529,3.0971435425813203
0.3519451000029221,1.9974936525993598,-2.0022755869959963,0.06420963854334916,-2.0,-2.0,3.997494300292165,-3.996494300292165,3.1410234002155657,-3.0768137616722164,-0.3988111977955117,3.070355595367017
0.4019907000474632,1.9960037486082016,-2.003558884140876,0.09365456872195523,-2.0,-2.0,3.9960053333982337,-3.995005333398234,3.1407020430138743,-3.047047474291919,-0.39771633710879334,3.037651548947373
0.45223190006799996,1.9942520144897529,-2.0051759922117567,0.1280937272437293,-2.0,-2.0,3.994255368169495,-3.993255368169495,3.1402967941158004,-3.012203066872071,-0.395987510515916,2.999411241927197
0.503276800038293,1.990415079139451,-2.009651035968404,0.2152815722002714,-2.0,-2.0,3.9904267499001627,-3.9894267499001628,3.1391741039002348,-2.9238925316999635,-0.38952633905488554,2.9028091496800656
0.5528920000651851,1.9876024013364852,-2.0128663720122972,0.27022855191292533,-2.0,-2.0,3.98762315855865,-3.98662315855865,3.1383660712810686,-2.868137519368143,-0.3838494404723669,2.8421415068630522
0.6026150999823585,1.9876024013364852,-2.0128663720122972,0.27022855191292533,-2.0,-2.0,3.98762315855865,-3.98662315855865,3.1383660712810686,-2.868137519368143,-0.3838494404723669,2.8421415068630522
0.6516229000408202,1.983523135892609,-2.016984072476377,0.33290075361713267,-2.0,-2.0,3.9835593422101256,-3.9825593422101258,3.1373290986949742,-2.8044283450778416,-0.37583274730141886,2.7732175308228157
0.7017273000674322,1.9775823202995972,-2.0223740631327676,0.401578977259938,-2.0,-2.0,3.9776452473116555,-3.9766452473116556,3.1359676720417844,-2.7343886947818463,-0.3651481982279162,2.698031868345502
0.7517131000058725,1.9702041097297827,-2.0293212424811657,0.47626643957104253,-2.0,-2.0,3.970312381686848,-3.9693123816868483,3.1342074641640947,-2.657941024593052,-0.35140432327523,2.6167834810914377
0.8009074999717996,1.9618516119802656,-2.0380296757518126,0.5564272737511285,-2.0,-2.0,3.9620341305431,-3.9610341305431,3.131993983189924,-2.5755667094387955,-0.33432666895986046,2.530313846789157
0.8505906000500545,1.9530765617821717,-2.048451602291197,0.6423228260904967,-2.0,-2.0,3.9533734785719576,-3.9523734785719578,3.129336585305147,-2.4870137592146504,-0.31354351846837136,2.4387276039781263
0.9022646000375971,1.944833963551981,-2.060427151542583,0.7356798332840446,-2.0,-2.0,3.9452967493759936,-3.9442967493759937,3.126275804641112,-2.3905959713570675,-0.2883316928613281,2.340726914201972
0.9511932000750676,1.937745441552358,-2.0738570899917166,0.8372394838640521,-2.0,-2.0,3.938438019343254,-3.9374380193432543,3.12283866553372,-2.2855991816696677,-0.25808667538397984,2.236109293128531
1.0017813000595197,1.9326173152711863,-2.0877830183894557,0.944881124364799,-2.0,-2.0,3.9335969298707156,-3.9325969298707157,3.1192745798828985,-2.1743934555180995,-0.22321721111762124,2.1276742435767817
1.0528441000496969,1.9302684336894633,-2.100493981181065,1.0544364195322609,-2.0,-2.0,3.9315530011827957,-3.930553001182796,3.1160289825732232,-2.0615925630409624,-0.18525808024507256,2.0200339682520863
1.1028491000179201,1.9304478699519112,-2.110806256241829,1.1635630106844932,-2.0,-2.0,3.9320094716101393,-3.9310094716101394,3.11340835537975,-1.9498453446952566,-0.14546195744276888,1.9154770081871404
1.1520299999974668,1.932853184880106,-2.1183272329944756,1.2731085485665312,-2.0,-2.0,3.9346328301240154,-3.9336328301240155,3.111514859487238,-1.8384063109207067,-0.1040159709152876,1.8129112792709634
1.203332700068131,1.936202423355617,-2.1244056032194814,1.3766207725121054,-2.0,-2.0,3.9381678826255024,-3.9371678826255025,3.10999768172466,-1.7333769092125548,-0.06372908395036259,1.717407889694533
1.254582199966535,1.9398517423315262,-2.1289971572219253,1.471783221336832,-2.0,-2.0,3.941962965087838,-3.940962965087838,3.108862718635658,-1.6370794972988258,-0.02610282859831622,1.630472253910179
