t,x,y,phi,xg,yg,e,theta,alpha,v,w
0.07260330009739846,-2.0,-2.0,8.15663263153893e-56,2.0,2.0,5.656854249492381,0.7853981633974483,0.7853981633974483,0.4000000000000001,0.6853981633974483
0.07390450011007488,-1.9983677809675537,-1.9997752176781702,-0.0007961638612909698,2.0,2.0,5.655541238805695,0.7855741338316262,0.7863702976929172,0.3995182037585971,0.6864211093130552
0.10209500009659678,-1.9983677809675537,-1.9997752176781702,-0.0007961638612909698,2.0,2.0,5.655541238805695,0.7855741338316262,0.7863702976929172,0.3995182037585971,0.6864211093130552
0.1521509001031518,-1.9934573565519245,-1.999371630073139,-0.004305444424888534,2.0,2.0,5.651785124545391,0.7861381107241975,0.790443555149086,0.3976201324455807,0.690720976008008
0.20155850006267428,-1.9852408753266837,-1.998930596472619,-0.010113656701528324,2.0,2.0,5.645670088641334,0.7871127693248055,0.7972264260263338,0.39445939380300005,0.6978885314517791
0.2512863000156358,-1.973721640762065,-1.9987148250246218,-0.015903400888196487,2.0,2.0,5.637391589213264,0.78853310244568,0.8044365033338765,0.39096286538812447,0.7054967505811678
0.30110360006801784,-1.960876912039802,-1.9988650997705588,-0.015631240155612635,2.0,2.0,5.6284516519637044,0.7901706672370944,0.8058019073927071,0.38978883548394705,0.7068542692156635
0.3520257000345737,-1.9468633647681368,-1.9993266155404779,-0.008442127989266525,2.0,2.0,5.618927281778909,0.7920003826523814,0.800442510641648,0.39129602939475894,0.7010148763192945
0.4017444000346586,-1.9315308667605333,-1.9999881561684933,0.0055788391353499625,2.0,2.0,5.608639782137827,0.794028993050542,0.788450153915192,0.39537848602366654,0.6880982382783675
0.45567370008211583,-1.9145998839853373,-2.0007054767217562,0.026672406910420433,2.0,2.0,5.597297255208934,0.7962761008247466,0.7696036939143263,0.40199033019955116,0.6679215809749429
0.5016627000877634,-1.8958465640019686,-2.001259406163489,0.05460691458465383,2.0,2.0,5.584594639332182,0.7987456583559699,0.7441387437713161,0.41084273225294715,0.6408223684066097
0.5503673000494018,-1.8555653296428911,-2.000843187988756,0.12484086771126131,2.0,2.0,5.556269452251243,0.8038876936470761,0.6790468259358148,0.4323731726627785,0.5723152303404634
0.6020951000973582,-1.834780355572677,-1.9993779027162604,0.15912562811916525,2.0,2.0,5.540808964783141,0.8064053129453519,0.6472796848261866,0.44200537371187243,0.5392449548011927
0.6520771000068635,-1.81349686859609,-1.997008208297069,0.190793180225813,2.0,2.0,5.524385303722608,0.8088892924310974,0.6180961122052844,0.4502281249743778,0.5090640919017184
0.7014754000119865,-1.81349686859609,-1.997008208297069,0.190793180225813,2.0,2.0,5.524385303722608,0.8088892924310974,0.6180961122052844,0.4502281249743778,0.5090640919017184
0.751129100099206,-1.7918379286915456,-1.9938188816749345,0.22024934075393132,2.0,2.0,5.507143010408121,0.8113350449655271,0.5910857042115958,0.4572779902600748,0.4813009815785898
0.8008803001139313,-1.7699133419212483,-1.9898506452661224,0.2482425415281423,2.0,2.0,5.489185256222123,0.8137338752930443,0.565491333764902,0.4634658705210952,0.4551478435467736
0.8502221000380814,-1.7477726481141302,-1.9851627528318843,0.2747966261590564,2.0,2.0,5.470586987564589,0.8160871013237593,0.5412904751647029,0.46885364218321274,0.4305553863006368
0.9057121000951156,-1.725490631673751,-1.9797476306058748,0.300001669198026,2.0,2.0,5.451391716800579,0.8183841356347485,0.5183824664367225,0.4735197491154816,0.40739896972574946
0.9504696000367403,-1.70314793960689,-1.9736478851353414,0.3237871895550133,2.0,2.0,5.43168318089847,0.8206196393881724,0.4968324498331591,0.4774975092422327,0.3857219511854264
1.0003574000438675,-1.6807047925499368,-1.966906946823333,0.3462785160009645,2.0,2.0,5.411463618528289,0.8228044366355499,0.47652592063458543,0.4808593152341042,0.36538851296950675
1.0503373000537977,-1.6582612973109854,-1.959567713365627,0.3675948911370428,2.0,2.0,5.390830380946052,0.8249303502376183,0.4573354591005755,0.483682678111535,0.34625523143263615
1.100476400111802,-1.6358474719763145,-1.9516645148948093,0.38765267865528,2.0,2.0,5.369826745599469,0.8269974187070868,0.43934474005180674,0.4859857360570837,0.32838848926803776
1.1519648000830784,-1.613486114508969,-1.943201616269264,0.4067353501391807,2.0,2.0,5.348469022654769,0.8290027845475331,0.42226743440835235,0.4878670327993346,0.31149313534396833
1.201180300093256,-1.5912039071016821,-1.9342306198929258,0.4247273841451724,2.0,2.0,5.326811060370497,0.8309489462821662,0.4062215621369938,0.489331727044872,0.29567251816287976
1.251492900075391,-1.5690028081332572,-1.9247948526960248,0.44187758420848694,2.0,2.0,5.304884134475728,0.8328407395001095,0.39096315529162257,0.49045905769131387,0.2806777730079396
1.3008039999986067,-1.5469216075641925,-1.914957087932883,0.4580433895699043,2.0,2.0,5.282758927924089,0.8346803206206204,0.37663693105071605,0.49124735165942296,0.26664001637205526
1.352126800105907,-1.5249603586565414,-1.904718598147228,0.4880433824164978,2.0,2.0,5.260434664627716,0.8364674006153069,0.3484240181988091,0.4944345386430766,0.23929438015936028
1.4009680000599474,-1.503103162417622,-1.8940837327995752,0.4880433824164978,2.0,2.0,5.2379022408398015,0.8382043305301471,0.3501609481136493,0.4920053300574323,0.24080288417611884
1.4516072000842541,-1.4814201855810147,-1.883107304232642,0.5019376947759323,2.0,2.0,5.215247726115782,0.8398876727196045,0.3379499779436722,0.49202542266003374,0.22893164857083276
1.5012458000564948,-1.4598923660722254,-1.8718018939745071,0.5151496352955257,2.0,2.0,5.192466185830144,0.8415212020219797,0.32637156672645395,0.4918365667520407,0.2177008614332165
